idSpatial,nodo,accion,site,spCode,idTratam,idReplica,idSubTrat,idCuadric
44,SN,C1,LANTEIRA,PN,T1,B,1,PN_T1_B1
45,SN,C1,LANTEIRA,PN,T1,B,2,PN_T1_B2
46,SN,C1,LANTEIRA,PN,T1,B,3,PN_T1_B3
47,SN,C1,LANTEIRA,PN,T1,B,4,PN_T1_B4
48,SN,C1,LANTEIRA,PN,T1,C,1,PN_T1_C1
49,SN,C1,LANTEIRA,PN,T1,C,2,PN_T1_C2
50,SN,C1,LANTEIRA,PN,T1,C,3,PN_T1_C3
51,SN,C1,LANTEIRA,PN,T1,C,4,PN_T1_C4
52,SN,C1,LANTEIRA,PN,T1,CONTROL,,PN_T1_CONTROL
53,SN,C1,LANTEIRA,PN,T2,A,1,PN_T2_A1
54,SN,C1,LANTEIRA,PN,T2,A,2,PN_T2_A2
55,SN,C1,LANTEIRA,PN,T2,A,3,PN_T2_A3
56,SN,C1,LANTEIRA,PN,T2,A,4,PN_T2_A4
57,SN,C1,LANTEIRA,PN,T2,B,1,PN_T2_B1
58,SN,C1,LANTEIRA,PN,T2,B,2,PN_T2_B2
59,SN,C1,LANTEIRA,PN,T2,B,3,PN_T2_B3
60,SN,C1,LANTEIRA,PN,T2,B,4,PN_T2_B4
61,SN,C1,LANTEIRA,PN,T2,C,1,PN_T2_C1
62,SN,C1,LANTEIRA,PN,T2,C,2,PN_T2_C2
63,SN,C1,LANTEIRA,PN,T2,C,3,PN_T2_C3
64,SN,C1,LANTEIRA,PN,T2,C,4,PN_T2_C4
65,SN,C1,LANTEIRA,PN,T2,CONTROL,,PN_T2_CONTROL
66,SN,C1,LANTEIRA,PN,T3,A,1,PN_T3_A1
67,SN,C1,LANTEIRA,PN,T3,A,2,PN_T3_A2
68,SN,C1,LANTEIRA,PN,T3,A,3,PN_T3_A3
69,SN,C1,LANTEIRA,PN,T3,A,4,PN_T3_A4
70,SN,C1,LANTEIRA,PN,T3,B,1,PN_T3_B1
71,SN,C1,LANTEIRA,PN,T3,B,2,PN_T3_B2
72,SN,C1,LANTEIRA,PN,T3,B,3,PN_T3_B3
73,SN,C1,LANTEIRA,PN,T3,B,4,PN_T3_B4
74,SN,C1,LANTEIRA,PN,T3,C,1,PN_T3_C1
75,SN,C1,LANTEIRA,PN,T3,C,2,PN_T3_C2
76,SN,C1,LANTEIRA,PN,T3,C,3,PN_T3_C3
77,SN,C1,LANTEIRA,PN,T3,C,4,PN_T3_C4
78,SN,C1,LANTEIRA,PN,T3,CONTROL,,PN_T3_CONTROL
79,SN,C1,PORTUGOS,PS,T1,A,1,PS_T1_A1
80,SN,C1,PORTUGOS,PS,T1,A,2,PS_T1_A2
81,SN,C1,PORTUGOS,PS,T1,A,3,PS_T1_A3
82,SN,C1,PORTUGOS,PS,T1,A,4,PS_T1_A4
83,SN,C1,PORTUGOS,PS,T1,B,1,PS_T1_B1
84,SN,C1,PORTUGOS,PS,T1,B,2,PS_T1_B2
85,SN,C1,PORTUGOS,PS,T1,B,3,PS_T1_B3
86,SN,C1,PORTUGOS,PS,T1,B,4,PS_T1_B4
87,SN,C1,PORTUGOS,PS,T1,C,1,PS_T1_C1
88,SN,C1,PORTUGOS,PS,T1,C,2,PS_T1_C2
89,SN,C1,PORTUGOS,PS,T1,C,3,PS_T1_C3
90,SN,C1,PORTUGOS,PS,T1,C,4,PS_T1_C4
91,SN,C1,PORTUGOS,PS,T1,CONTROL,,PS_T1_CONTROL
92,SN,C1,PORTUGOS,PS,T2,A,1,PS_T2_A1
93,SN,C1,PORTUGOS,PS,T2,A,2,PS_T2_A2
94,SN,C1,PORTUGOS,PS,T2,A,3,PS_T2_A3
95,SN,C1,PORTUGOS,PS,T2,A,4,PS_T2_A4
96,SN,C1,PORTUGOS,PS,T2,B,1,PS_T2_B1
97,SN,C1,PORTUGOS,PS,T2,B,2,PS_T2_B2
98,SN,C1,PORTUGOS,PS,T2,B,3,PS_T2_B3
99,SN,C1,PORTUGOS,PS,T2,B,4,PS_T2_B4
100,SN,C1,PORTUGOS,PS,T2,C,1,PS_T2_C1
101,SN,C1,PORTUGOS,PS,T2,C,2,PS_T2_C2
102,SN,C1,PORTUGOS,PS,T2,C,3,PS_T2_C3
103,SN,C1,PORTUGOS,PS,T2,C,4,PS_T2_C4
